cal_bottle_id,cal_bottle_CO2
1,798.1914063508195
2,807.2388088294385
3,391.30605031135417
4,399.5306738030804
5,407.0527557580817
6,401.5412941876083
7,403.08825054200275
8,413.35824544383127
9,805.5490240326694
10,804.5930779005457
11,400.2689675420559
12,816.1936281448011
13,417.6837019046222
14,809.3100835262264
15,807.8444614306677
16,401.87847450851604
17,390.0240811582326
18,400.6079887912942
19,413.5750279020124
20,401.80090700034015
21,400.30465761567046
22,406.676269659521
23,390.49101883668334
24,806.8094391078063
25,817.9944589683803
26,403.0484176551189
27,399.57209790624563
28,811.0902291726092
29,805.9569716975996
30,400.67101965388713
31,806.6917643208662
32,805.2646013098674
33,805.6725677565137
34,805.7284689396154
35,808.3055093557002
36,400.8003365798129
37,802.1964319732738
38,814.6699822450586
39,816.2521645761756
40,802.7083573471682
41,402.3369712562414
42,404.2789480660756
43,404.09582995082815
44,404.1711301514231
45,406.2700250087569
46,405.84240790611585
47,402.7636140227344
48,403.8436849760295
49,404.00587274479017
50,403.98897911282126
51,402.4498480937136
52,404.33834457018736
53,404.08245187134105
54,403.74319422383724
55,405.9942543148306
56,403.93816163816047
57,405.87714598831826
58,405.7207208543184
59,403.9779002095654
60,405.81498512205485
61,525.7966529563002
62,525.8786286309278
63,521.6622912442359
64,525.6284772084742
65,524.2825394002965
66,524.0532089764381
67,525.6132753405269
68,525.7673950348656
69,525.4153437780232
70,524.9966187849843
71,524.9292588698545
72,524.3032345593783
73,524.3221541573863
74,523.6362736748772
75,524.4205534668575
76,524.872084673942
77,524.4957432344279
78,521.7440273182931
79,523.9022400255933
80,522.9982931291066
81,522.4069026528374
82,521.9948774217688
83,522.4944370190834
84,519.4996164252359
85,522.6065096159259
86,522.4389257404735
87,522.304663100912
88,522.0123712598768
89,523.1993757923232
90,522.7276754822104
91,522.7470038342326
92,519.9730075536429
93,522.5310582054829
94,521.878696409748
95,522.3377255165628
96,521.8621744185366
97,522.2172384481117
98,522.6360574361446
99,522.8800788846385
100,522.5006704602793
101,401.9663457662931
102,402.8704677346891
103,402.8848475250676
104,401.8274274077712
105,400.6563701343928
106,401.7903043412514
107,402.0935771008572
108,402.82112465109776
109,399.6676137159892
110,401.7645314568672
111,402.70213401646066
112,402.70129592372444
113,401.8755007882667
114,401.99006017958624
115,402.65517458784814
116,402.1074731976945
117,401.6490928378198
118,401.8560315443678
119,403.03981803889957
120,402.6622909917404
